Item Type	Biblio Number	Barcode	Accession Date	Last Seen Date	Issue Date	Title	Author									
BK	90086	CH53849	2011-04-03	2012-01-27	2012-01-27	His Last Duchess	Gabrielle Kimm									
BK	84850	CH21784	2011-04-03	2012-02-11	2012-02-11	A History of India	Keay	 John								
BK	88638	CH53325	2011-04-03	2012-02-16	2012-02-16	Tibet	 Tibet: A Personal History of a Lost Land	Patrick French								
BK	89837	CH50222	2011-04-03	2012-02-16	2012-02-16	Clinical Examination	Owen Epstein	 G David Perkin	 John Cookson							
BK	83157	CH29164	2011-04-03	2012-02-23	2012-02-23	Fiber Optic Communications : Fourth Edition										
BK	84370	CH22597	2011-04-03	2012-03-01	2012-03-01	A handbook of Classroom English										
BK	79937	CH47007	2011-04-03	2012-03-06	2012-03-06	Espresso Tales: The Latest from 44 Scotland Street	McCall Smith	 Alexander								
BK	83134	CH24249	2011-04-03	2012-03-09	2012-03-09	HTML										
BK	83965	CH11646	2011-04-03	2012-03-10	2012-03-10	Developmental Biology	R M Twyman									
BK	84609	CH40194	2011-04-03	2012-03-12	2012-03-12	Clean Break										
BK	87644	CH50396	2011-04-03	2012-03-20	2012-03-20	Chess for Rookies: Learn to Play	 Win and Enjoy!	Craig Pritchett								
BK	86798	CH6416	2011-04-03	2012-03-20	2012-03-20	Chess : From first moves to checkmate	Daniel King									
BK	83795	CH48490	2011-04-03	2012-03-21	2012-03-21	The Psychology of Success: Secrets of Serial Achievement	Judith Leary-Joyce									
BK	83610	CH30877	2011-04-03	2012-03-29	2012-03-29	OXFORD HANDBOOK OF CLINICAL DENTISTRY	Laura Mitchell and David A. Mitchell									
BK	91538	CH52051	2011-04-03	2012-03-29	2012-03-29	The Art of Concentration: Enhance focus	 reduce stress and achieve more	Harriet Griffey								
BK	86355	CH39680	2011-04-03	2012-03-29	2012-03-29	How to be a Brilliant Writer	Jen Alexander									
BK	84135	CH44253	2011-04-03	2012-04-04	2012-04-04	Glue										
BK	80609	CH30827	2011-04-03	2012-04-07	2012-04-07	Junior Soccer	Adam Ward &Trevor Lewin									
BK	81535	CH45502	2011-04-03	2012-04-09	2012-04-09	Brilliant Brain Games:	Guy Campbell and Paul Moran									
